Time,N2O Segment 1,Time,N2O Segment 2,Time,N2O Segment 3
0,0.0046631,0,0.003990152,0,0.003937529
31,0.005528412,68,0.004652146,93,0.004961614
124,0.006446467,151,0.005681179,183,0.005863956
212,0.006507281,240,0.005735783,271,0.005966718
301,0.006719798,330,0.006298148,360,0.007748898
391,0.009336293,422,0.009295449,450,0.011283037
527,0.020578429,560,0.018451574,587,0.022267111
616,0.027985901,648,0.027947146,678,0.031630475
725,0.038534017,728,0.032155214,729,0.034970574
