Gas Timepoint,Ethane,Helium,Nitrous Oxide,Sulfur Hexafluoride,Methane
1,0,0,0,0,0
22,0,0,0,0,0
41,0,0,0.094210014,0,0.051919397
62,0,0.123830795,0.428961035,0.354694861,0.265695317
82,0.45872867,0.221077791,0.63512543,0.509220498,0.418807649
102,0.64558785,0.395706982,0.84998492,0.738411747,0.626859591
125,0.670133485,0.453396297,0.837213956,0.730257899,0.671150146
140,0.730299328,0.483036275,0.899141673,0.781665897,0.738878846
160,0.741961031,0.561063463,0.883796233,0.790896796,0.770348663
182,0.853155364,0.668578832,1.015005951,0.911491982,0.87027952
208,0.822938028,0.636416204,0.973122783,0.85360453,0.847940546
240,0.880637476,0.693394743,0.998913099,0.905851278,0.90034595
270,0.903525424,0.712558604,0.996687707,0.92626169,0.910003149
309,0.934214828,0.763018227,1.011349971,0.937797045,0.948475376
354,0.912149624,0.782322837,0.990859954,0.923715472,0.940975958
413,0.879370819,0.833639372,0.952199037,0.906557461,0.934603885
502,0.895929166,0.877863997,0.982692289,0.92209363,0.952702847
563,0.900984227,0.863333718,0.969857877,0.930801181,0.94411132
642,0.901250379,0.863555275,0.917561216,0.892504256,0.893756488
712,0.864469726,0.842494049,0.908942871,0.858889154,0.899912293
