Time,Ethane,Helium,N2O,SF6,CH4
0,0.027295609,4.701660287,0.217658202,3.5751E-06,0.293712583
163,0.022473864,3.380755694,0.196869188,3.45555E-06,0.265284762
313,0.022899968,3.106360269,0.195964119,3.54897E-06,0.263578829
463,0.02249498,2.748226166,0.191133328,3.51517E-06,0.254724843
595,0.01887419,1.832026567,0.176199221,3.1267E-06,0.235438583
725,0.020218467,2.038394617,0.187022982,3.3167E-06,0.239277938
