Gas Timepoint,Ethane,Helium,Nitrous Oxide,Sulfur Hexafluoride,Methane
0,0,0,0,0,0.000365358
20,0,0,0,0,0.001460581
40,0,0,0.085046778,0,0.047250386
60,0,0.052853573,0.286591991,0.280888847,0.186317305
81,0.371853384,0.108260314,0.462683567,0.438490772,0.311995692
100,0.486650917,0.171659904,0.601875276,0.532171438,0.418513728
120,0.573892438,0.219462473,0.700243512,0.616701579,0.501206758
140,0.620900357,0.253750051,0.784072125,0.671583851,0.570266983
161,0.651134915,0.259615133,0.824638169,0.641321275,0.596267971
180,0.652153092,0.280989382,0.858657291,0.683362162,0.629728594
200,0.750515705,0.305368182,0.900149103,0.761101185,0.677150648
230,0.734722005,0.30076596,0.873869188,0.700857734,0.673065191
260,0.747219473,0.317675479,0.915689497,0.728121811,0.70452652
290,0.732131011,0.310112446,0.912303526,0.685955801,0.68530054
329,0.813056412,0.338093604,0.943024633,0.77372624,0.741896913
373,0.773442124,0.335934255,0.938668679,0.748850042,0.747034277
438,0.818128114,0.404475956,0.94810546,0.777685561,0.792629272
508,0.913624385,0.535913031,0.992813025,0.837470685,0.864279975
578,0.998537117,0.67544148,1.035714183,0.906703519,0.927455654
652,0.951268776,0.671212188,0.984822001,0.886446601,0.91744212
724,0.960857627,0.722987704,0.950843796,0.83106925,0.940241036
