Time,CH4 Segment 1,Time,CH4 Segment 2,Time,CH4 Segment 3
0,0.001102834,0,0.001059166,0,0.001106595
32,0.001269084,62,0.001078658,92,0.001227378
121,0.001455917,152,0.001379109,181,0.001668942
210,0.001892982,241,0.00170925,270,0.002136027
300,0.002615773,331,0.002204715,362,0.00244561
427,0.003540051,459,0.003312064,488,0.003794339
520,0.005151937,548,0.005037796,581,0.005735138
611,0.007678158,638,0.00664545,668,0.007759648
726,0.011142218,729,0.008945133,730,0.009351344
