Time,N2O Segment 1,Time,N2O Segment 2,Time,N2O Segment 3
0,0,0,0,0,0
32,0,62,0,92,0
121,0,152,0,181,0
210,0,241,0,270,0
300,0.000276201,331,0.000256799,362,0.000680376
427,0.002612246,459,0.002950328,488,0.004036543
520,0.006268474,548,0.006349131,581,0.006766481
611,0.010649076,638,0.008677067,668,0.010650743
726,0.015201504,729,0.011757217,730,0.012228758
