Time,Ethane,Helium,N2O,SF6,CH4
0,0.030267813,6.025386155,0.312964127,5.32E-06,0.326446428
148,0.024946806,3.887219457,0.302585617,4.67E-06,0.284566518
296,0.023331168,3.323458204,0.282749694,4.49E-06,0.267388777
428,0.025985989,3.330652401,0.300048314,4.95E-06,0.274194955
573,0.023454473,2.687498855,0.283601856,4.60E-06,0.259121133
713,0.02384522,2.498342213,0.291672929,4.78E-06,0.259347034
